09/12/2024 06:00:46 PM logger_begeekmyfriend___yasea INFO <<<<<<<<<<<<<<<<<< Logger setup anew <<<<<<<<<<<<<<<<<<< (utils.py:39) (begeekmyfriend___yasea)
09/12/2024 06:00:46 PM logger_begeekmyfriend___yasea INFO Analyzing repos/repos_400_c_round_two/begeekmyfriend___yasea (install_repos.py:285) (begeekmyfriend___yasea)
09/12/2024 06:00:46 PM logger_begeekmyfriend___yasea INFO Running command: ./gradlew clean (install_repos.py:20) (begeekmyfriend___yasea)
09/12/2024 06:00:46 PM logger_begeekmyfriend___yasea INFO Logging output to: logs/repos/repos_400_c_round_two_install_logs_with_make_cmake_gradlew_meson_scons_bazel_2024-09-12_17-35-05/begeekmyfriend___yasea_build.log (install_repos.py:21) (begeekmyfriend___yasea)
09/12/2024 06:00:47 PM logger_begeekmyfriend___yasea DEBUG Starting a Gradle Daemon, 1 incompatible and 1 stopped Daemons could not be reused, use --status for details (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG  (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG FAILURE: Build failed with an exception. (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG  (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG * Where: (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG Settings file '/INSTALL_C/repos/repos_400_c_round_two/begeekmyfriend___yasea/settings.gradle' (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG  (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG * What went wrong: (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG Could not compile settings file '/INSTALL_C/repos/repos_400_c_round_two/begeekmyfriend___yasea/settings.gradle'. (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG > startup failed: (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG General error during semantic analysis: Unsupported class file major version 61 (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG  (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG java.lang.IllegalArgumentException: Unsupported class file major version 61 (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG at groovyjarjarasm.asm.ClassReader.<init>(ClassReader.java:196) (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG at groovyjarjarasm.asm.ClassReader.<init>(ClassReader.java:177) (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG at groovyjarjarasm.asm.ClassReader.<init>(ClassReader.java:163) (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG at groovyjarjarasm.asm.ClassReader.<init>(ClassReader.java:284) (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG at org.codehaus.groovy.ast.decompiled.AsmDecompiler.parseClass(AsmDecompiler.java:81) (install_repos.py:38) (begeekmyfriend___yasea)
09/12/2024 06:00:49 PM logger_begeekmyfriend___yasea DEBUG at org.codehaus.groovy.control.ClassNodeResolver.findDecompiled(ClassNodeResolver.java:251) (install_repos.py:38) (begeekmyfriend___yasea)
