09/12/2024 05:41:03 PM logger_bingoogolapple___bgaqrcode-android INFO <<<<<<<<<<<<<<<<<< Logger setup anew <<<<<<<<<<<<<<<<<<< (utils.py:39) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:03 PM logger_bingoogolapple___bgaqrcode-android INFO Analyzing repos/repos_400_c_round_two/bingoogolapple___bgaqrcode-android (install_repos.py:285) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:03 PM logger_bingoogolapple___bgaqrcode-android INFO Running command: ./gradlew clean (install_repos.py:20) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:03 PM logger_bingoogolapple___bgaqrcode-android INFO Logging output to: logs/repos/repos_400_c_round_two_install_logs_with_make_cmake_gradlew_meson_scons_bazel_2024-09-12_17-35-05/bingoogolapple___bgaqrcode-android_build.log (install_repos.py:21) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:04 PM logger_bingoogolapple___bgaqrcode-android DEBUG Starting a Gradle Daemon, 2 incompatible and 1 stopped Daemons could not be reused, use --status for details (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG java.lang.NoClassDefFoundError: Could not initialize class org.codehaus.groovy.vmplugin.v7.Java7 (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.vmplugin.VMPluginFactory.<clinit>(VMPluginFactory.java:43) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.reflection.GroovyClassValueFactory.<clinit>(GroovyClassValueFactory.java:35) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.reflection.ClassInfo.<clinit>(ClassInfo.java:109) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.reflection.ReflectionCache.getCachedClass(ReflectionCache.java:95) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.reflection.ReflectionCache.<clinit>(ReflectionCache.java:39) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.runtime.metaclass.MetaClassRegistryImpl.registerMethods(MetaClassRegistryImpl.java:209) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.runtime.metaclass.MetaClassRegistryImpl.<init>(MetaClassRegistryImpl.java:107) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.runtime.metaclass.MetaClassRegistryImpl.<init>(MetaClassRegistryImpl.java:85) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at groovy.lang.GroovySystem.<clinit>(GroovySystem.java:36) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.codehaus.groovy.runtime.InvokerHelper.<clinit>(InvokerHelper.java:86) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at groovy.lang.GroovyObjectSupport.getDefaultMetaClass(GroovyObjectSupport.java:59) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at groovy.lang.GroovyObjectSupport.<init>(GroovyObjectSupport.java:32) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.extensibility.DefaultExtraPropertiesExtension.<init>(DefaultExtraPropertiesExtension.java:29) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.extensibility.DefaultConvention.<init>(DefaultConvention.java:48) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.api.internal.plugins.DefaultConvention.<init>(DefaultConvention.java:28) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.extensibility.ExtensibleDynamicObject.<init>(ExtensibleDynamicObject.java:60) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.instantiation.MixInExtensibleDynamicObject.<init>(MixInExtensibleDynamicObject.java:34) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.DefaultSettings_Decorated.getAsDynamicObject(Unknown Source) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.SettingsFactory.createSettings(SettingsFactory.java:58) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.ScriptEvaluatingSettingsProcessor.process(ScriptEvaluatingSettingsProcessor.java:60) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.PropertiesLoadingSettingsProcessor.process(PropertiesLoadingSettingsProcessor.java:37) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.SettingsEvaluatedCallbackFiringSettingsProcessor.process(SettingsEvaluatedCallbackFiringSettingsProcessor.java:34) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.RootBuildCacheControllerSettingsProcessor.process(RootBuildCacheControllerSettingsProcessor.java:36) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.BuildOperationSettingsProcessor$2.call(BuildOperationSettingsProcessor.java:50) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.BuildOperationSettingsProcessor$2.call(BuildOperationSettingsProcessor.java:47) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$CallableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:416) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$CallableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:406) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$1.execute(DefaultBuildOperationExecutor.java:165) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.execute(DefaultBuildOperationExecutor.java:250) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.execute(DefaultBuildOperationExecutor.java:158) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.call(DefaultBuildOperationExecutor.java:102) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.internal.operations.DelegatingBuildOperationExecutor.call(DelegatingBuildOperationExecutor.java:36) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
09/12/2024 05:41:06 PM logger_bingoogolapple___bgaqrcode-android DEBUG at org.gradle.initialization.BuildOperationSettingsProcessor.process(BuildOperationSettingsProcessor.java:47) (install_repos.py:38) (bingoogolapple___bgaqrcode-android)
