09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO <<<<<<<<<<<<<<<<<< Logger setup anew <<<<<<<<<<<<<<<<<<< (utils.py:39) (rmtheis___tess-two)
09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO Analyzing repos/repos_400_c_round_two/rmtheis___tess-two (install_repos.py:285) (rmtheis___tess-two)
09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO Running command: ./gradlew clean (install_repos.py:20) (rmtheis___tess-two)
09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO Logging output to: logs/repos/repos_400_c_round_two_install_logs_with_make_cmake_gradlew_meson_scons_bazel_2024-09-12_17-35-05/rmtheis___tess-two_build.log (install_repos.py:21) (rmtheis___tess-two)
09/12/2024 06:07:26 PM logger_rmtheis___tess-two DEBUG Starting a Gradle Daemon, 1 incompatible and 1 stopped Daemons could not be reused, use --status for details (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG java.lang.NoClassDefFoundError: Could not initialize class org.codehaus.groovy.vmplugin.v7.Java7 (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.vmplugin.VMPluginFactory.<clinit>(VMPluginFactory.java:43) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.reflection.GroovyClassValueFactory.<clinit>(GroovyClassValueFactory.java:35) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.reflection.ClassInfo.<clinit>(ClassInfo.java:109) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.reflection.ReflectionCache.getCachedClass(ReflectionCache.java:95) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.reflection.ReflectionCache.<clinit>(ReflectionCache.java:39) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.runtime.metaclass.MetaClassRegistryImpl.registerMethods(MetaClassRegistryImpl.java:209) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.runtime.metaclass.MetaClassRegistryImpl.<init>(MetaClassRegistryImpl.java:107) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.runtime.metaclass.MetaClassRegistryImpl.<init>(MetaClassRegistryImpl.java:85) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at groovy.lang.GroovySystem.<clinit>(GroovySystem.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.codehaus.groovy.runtime.InvokerHelper.<clinit>(InvokerHelper.java:86) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at groovy.lang.GroovyObjectSupport.getDefaultMetaClass(GroovyObjectSupport.java:59) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at groovy.lang.GroovyObjectSupport.<init>(GroovyObjectSupport.java:32) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.api.internal.plugins.DefaultExtraPropertiesExtension.<init>(DefaultExtraPropertiesExtension.java:29) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.api.internal.plugins.DefaultConvention.<init>(DefaultConvention.java:47) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.api.internal.ExtensibleDynamicObject.<init>(ExtensibleDynamicObject.java:58) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultSettings.<init>(DefaultSettings.java:93) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultSettings_Decorated.<init>(Unknown Source) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:77) (install_repos.py:38) (rmtheis___tess-two)
