10/07/2024 12:40:39 AM logger_bminor___bash INFO <<<<<<<<<<<<<<<<<< Logger setup anew <<<<<<<<<<<<<<<<<<< (utils.py:39) (bminor___bash)
10/07/2024 12:40:39 AM logger_bminor___bash INFO Analyzing repos/bminor___bash (install_repos.py:338) (bminor___bash)
10/07/2024 12:40:39 AM logger_bminor___bash INFO Running autoreconf (install_repos.py:91) (bminor___bash)
10/07/2024 12:40:39 AM logger_bminor___bash INFO Running command: autoreconf -i (install_repos.py:21) (bminor___bash)
10/07/2024 12:40:39 AM logger_bminor___bash INFO Logging output to: logs/repos_400_c_round_two_with_manual_installation_of_missing_packages_2024-10-07_00-38-25/bminor___bash_build.log (install_repos.py:22) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: AFS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: Use AC_DEFINE([AFS], [], [Description]) (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: ALIAS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: ALT_ARRAY_IMPLEMENTATION (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: ARITH_FOR_COMMAND (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: ARRAY_VARS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: BANG_HISTORY (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: BRACE_EXPANSION (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: CAN_REDEFINE_GETENV (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: CASEMOD_ATTRS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: CASEMOD_EXPANSIONS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: COMMAND_TIMING (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: COND_COMMAND (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: COND_REGEXP (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: COPROCESS_SUPPORT (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DEBUGGER (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DEFAULT_ECHO_TO_XPG (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DEFAULT_MAIL_DIRECTORY (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DEV_FD_PREFIX (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DEV_FD_STAT_BROKEN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DIRCOMPLETE_EXPAND_DEFAULT (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DISABLED_BUILTINS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DPAREN_ARITHMETIC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: DUP2_BROKEN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: EXTENDED_GLOB (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: EXTGLOB_DEFAULT (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: FIONREAD_IN_SYS_IOCTL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: FUNCTION_IMPORT (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: GETCWD_BROKEN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: GLOBASCII_DEFAULT (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_BSD_SIGNALS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_DEV_FD (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_DEV_STDIN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_GETPW_DECLS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_HASH_BANG_EXEC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_LIBSOCKET (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_MBRLEN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_MBSCMP (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_MBSNRTOWCS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_MBSRTOWCS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_MBSTATE_T (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_MKFIFO (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_POSIX_SIGNALS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_POSIX_SIGSETJMP (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_PRINTF_A_FORMAT (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_QUAD_T (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_SETOSTYPE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_SOCKLEN_T (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_STD_PUTENV (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_STD_UNSETENV (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_STRSIGNAL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_STRUCT_TIMESPEC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_STRUCT_TIMEZONE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_SYS_ERRLIST (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_SYS_RESOURCE_H (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_SYS_SIGLIST (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_TIMEVAL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_UNDER_SYS_SIGLIST (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_USG_SIGHOLD (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_WAIT3 (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_WCSCOLL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_WCSDUP (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_WCTYPE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HAVE_WCWIDTH (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HELP_BUILTIN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: HISTORY (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: JOB_CONTROL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: JOB_CONTROL_MISSING (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: MEMSCRAMBLE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: MKFIFO_MISSING (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: MUST_REINSTALL_SIGHANDLERS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: NAMED_PIPES_MISSING (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: NETWORK_REDIRECTIONS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: NO_MULTIBYTE_SUPPORT (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: OPENDIR_NOT_ROBUST (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: PGRP_PIPE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: PROCESS_SUBSTITUTION (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: PROGRAMMABLE_COMPLETION (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: PROMPT_STRING_DECODE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: PTHREAD_H_DEFINES_STRUCT_TIMESPEC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: PUSHD_AND_POPD (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: READLINE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: RESTRICTED_SHELL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: RLIMIT_NEEDS_KERNEL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: RLIMTYPE (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: SELECT_COMMAND (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: SPEED_T_IN_SYS_TYPES (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: STRCOLL_BROKEN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: STRICT_POSIX (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: STRTOLD_BROKEN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: STRUCT_WINSIZE_IN_SYS_IOCTL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: STRUCT_WINSIZE_IN_TERMIOS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: SVR4 (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: SVR4_2 (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: SVR5 (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: SYS_TIME_H_DEFINES_STRUCT_TIMESPEC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: TERMIOS_LDISC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: TERMIO_LDISC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: TIME_H_DEFINES_STRUCT_TIMESPEC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: TIOCSTAT_IN_SYS_IOCTL (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: TRANSLATABLE_STRINGS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: ULIMIT_MAXFDS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: UNDER_SYS_SIGLIST_DECLARED (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: UNUSABLE_RT_SIGNALS (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: USING_BASH_MALLOC (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: WCONTINUED_BROKEN (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: clock_t (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: sig_atomic_t (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: sigset_t (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoheader: warning: missing template: socklen_t (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash DEBUG autoreconf: /usr/bin/autoheader failed with exit status: 1 (install_repos.py:39) (bminor___bash)
10/07/2024 12:40:40 AM logger_bminor___bash ERROR Error: Build failed for bminor___bash
Build failed for reason: autoreconf failed (install_repos.py:353) (bminor___bash)
